Año,País,Parkinson,Tasa_contaminacion_Aire,Exp_Plomo,Pesticidas,Nitratos,Usuarios_Internet
2009,Lithuania,164.98148,0.5334233,220.196,453.91,18.120375,111632.22
2010,Lithuania,166.74184,0.50708646,219.67883,401.39,17.045946,152521.1
2011,Lithuania,171.30458,0.54960525,213.64905,493.54,19.6061,535900.44
2012,Lithuania,177.21062,0.5461497,206.63275,642.78,18.587452,1133209.0
2013,Lithuania,183.51247,0.5351252,202.47006,705.85,18.252436,1771688.8
2014,Lithuania,189.10555,0.44266176,191.18858,746.05,18.253622,2891607.0
2015,Lithuania,192.80336,0.43421656,190.59846,765.83,18.28153,5588928.0
2016,Lithuania,193.49251,0.31143463,185.14099,701.11,18.421354,7485550.5
2017,Lithuania,191.63467,0.22442822,170.19829,171.8,16.129787,8513987.0
2018,Lithuania,189.93498,0.2791764,164.34232,171.8,15.727553,16972862.0
2019,Lithuania,190.87656,0.2438049,157.73825,171.8,18.203299,19027530.0
2020,Lithuania,208.05618,0.23126307,154.26907,171.8,9.889121,21047514.0
2021,Lithuania,209.02734,0.2148599,147.30397,171.8,9.889121,29646.861
1992,Luxembourg,178.42188,1.1898724,187.14575,28599.61,9.378688,9788310.0
